Date,Cloudy test,Top1,Top2,Top3,Top4,Top5,RMSE,CRMSE,BIAS,Rs,pval
2014-05-01 12:00:00,0,2014-05-14 12:00:00,2014-05-02 12:00:00,2014-05-15 12:00:00,2014-05-16 12:00:00,2014-05-13 12:00:00,11.1348788388973,8.92893985332727,6.65278587154182,0.999289267945984,3.78E-67
2014-05-02 12:00:00,0,2014-05-14 12:00:00,2017-05-01 12:00:00,2014-05-12 12:00:00,2014-05-01 12:00:00,2017-09-26 12:00:00,8.59636898862272,6.62789379632736,-5.47435691320538,0.999644633972992,4.53E-74
2014-05-03 12:00:00,0,2017-05-20 12:00:00,2014-05-14 12:00:00,2016-09-25 12:00:00,2017-09-25 12:00:00,2017-06-27 12:00:00,8.52552977366647,7.32672702176777,-4.35932667623928,0.998667338371416,7.15E-61
2014-05-04 12:00:00,1,2017-05-15 12:00:00,2017-09-22 12:00:00,2016-05-08 12:00:00,2014-07-07 12:00:00,2015-05-21 12:00:00,105.002551373666,83.8063615819057,-63.2615961969205,0.997956585268964,1.32E-56
2014-05-05 12:00:00,1,2016-09-17 12:00:00,2016-07-09 12:00:00,2015-05-16 12:00:00,2016-05-15 12:00:00,2017-05-13 12:00:00,80.5823131458145,73.7091135223339,-32.5649470394443,0.984333817471951,2.54E-36
2014-05-06 12:00:00,0,2015-05-22 12:00:00,2017-05-14 12:00:00,2014-05-11 12:00:00,2014-06-18 12:00:00,2017-06-12 12:00:00,131.154380472128,111.768596522964,68.6239925122013,0.979507225775882,1.16E-33
2014-05-07 12:00:00,1,2015-05-16 12:00:00,2016-05-01 12:00:00,2014-09-28 12:00:00,2016-05-26 12:00:00,2015-05-09 12:00:00,101.393297318138,100.482702276818,-13.5582920824382,0.981757877280265,8.18E-35
2014-05-08 12:00:00,2,2014-05-20 12:00:00,2015-05-18 12:00:00,2015-06-04 12:00:00,2015-05-12 12:00:00,2014-05-24 12:00:00,133.311193827878,106.555607575126,-80.1110285423285,0.998696843876021,4.27E-61
2014-05-09 12:00:00,0,2017-05-28 12:00:00,2017-06-12 12:00:00,2017-09-24 12:00:00,2016-09-15 12:00:00,2017-09-23 12:00:00,16.220102437876,13.5105156356808,-8.97539360436156,0.998904082370016,7.98E-63
2014-05-10 12:00:00,2,2015-05-12 12:00:00,2017-06-09 12:00:00,2016-06-15 12:00:00,2014-06-17 12:00:00,2015-05-13 12:00:00,79.1960401336679,74.7507620869239,26.1598230169402,0.996416620213649,5.30E-51
2014-05-11 12:00:00,0,2017-06-12 12:00:00,2017-05-14 12:00:00,2017-09-23 12:00:00,2016-09-15 12:00:00,2014-05-09 12:00:00,19.7326112723759,16.393281582964,-10.9834542184301,0.998667191000039,7.17E-61
2014-05-12 12:00:00,0,2017-05-01 12:00:00,2014-05-02 12:00:00,2017-09-25 12:00:00,2017-05-20 12:00:00,2017-09-26 12:00:00,13.0208967165484,10.7488480330449,-7.34887864000541,0.999479193444552,2.97E-70
2014-05-13 12:00:00,0,2014-05-12 12:00:00,2014-05-15 12:00:00,2014-05-02 12:00:00,2014-05-16 12:00:00,2017-09-25 12:00:00,7.85638586105591,6.71336488040903,-4.08087377656915,0.999392377418237,1.03E-68
2014-05-14 12:00:00,0,2014-05-01 12:00:00,2014-05-02 12:00:00,2014-05-15 12:00:00,2014-05-16 12:00:00,2017-09-26 12:00:00,9.94390317222319,8.00395772385368,-5.90066700071384,0.999537063816473,1.98E-71
2014-05-15 12:00:00,0,2014-05-16 12:00:00,2014-05-14 12:00:00,2014-05-01 12:00:00,2014-05-13 12:00:00,2014-05-02 12:00:00,7.72384129917163,7.06713767315702,-3.11661507463373,0.999566005282945,4.49E-72
2014-05-16 12:00:00,0,2014-05-15 12:00:00,2014-05-14 12:00:00,2014-05-01 12:00:00,2014-05-13 12:00:00,2014-05-02 12:00:00,29.7309582679726,29.1147259577275,6.02184456278638,0.999161049974037,1.71E-65
2014-05-17 12:00:00,2,2014-05-08 12:00:00,2016-08-11 12:00:00,2016-08-09 12:00:00,2016-08-08 12:00:00,2016-08-07 12:00:00,72.5792230538712,63.9641428834969,-34.2976973612396,0.991781158438204,9.88E-43
2014-05-18 12:00:00,2,2014-06-24 12:00:00,2015-05-12 12:00:00,2015-06-04 12:00:00,2016-06-07 12:00:00,2016-06-08 12:00:00,57.828361839009,54.1156067532742,-20.3867736218444,0.997309573131187,7.34E-54
2014-05-19 12:00:00,2,2015-06-05 12:00:00,2016-09-03 12:00:00,2015-06-06 12:00:00,2015-07-16 12:00:00,2014-06-27 12:00:00,70.6610597814172,70.6391750715329,-1.75849783802477,0.99456144411016,7.64E-47
2014-05-20 12:00:00,2,2014-05-08 12:00:00,2015-05-18 12:00:00,2014-05-10 12:00:00,2015-05-12 12:00:00,2017-05-17 12:00:00,65.1480479498909,64.9613590071843,-4.92848735627922,0.995718583661189,3.15E-49
2014-05-21 12:00:00,1,2016-05-22 12:00:00,2016-09-23 12:00:00,2015-05-15 12:00:00,2015-07-11 12:00:00,2017-05-18 12:00:00,80.0920635548657,63.6282439544553,-48.6434498750754,0.994994657866742,1.14E-47
2014-05-22 12:00:00,2,2015-05-04 12:00:00,2015-06-06 12:00:00,2015-05-05 12:00:00,2015-05-24 12:00:00,2015-05-03 12:00:00,235.258249410617,185.598912534453,144.566550701663,0.976249024043773,3.34E-32
2014-05-23 12:00:00,1,2017-05-10 12:00:00,2017-06-01 12:00:00,2016-05-05 12:00:00,2017-09-15 12:00:00,2016-05-15 12:00:00,86.5754544501213,74.0515843225356,-44.8516685594576,0.987473602403549,1.53E-38
2014-05-24 12:00:00,2,2015-06-04 12:00:00,2016-06-08 12:00:00,2016-06-07 12:00:00,2017-06-07 12:00:00,2014-06-24 12:00:00,280.578131706574,225.094914189483,167.500351038381,0.971881508909974,1.55E-30
2014-05-25 12:00:00,2,2014-06-07 12:00:00,2014-06-11 12:00:00,2014-06-10 12:00:00,2014-06-12 12:00:00,2015-05-03 12:00:00,42.9023907721775,41.5707492233833,-10.6060333289689,0.999190002314279,7.64E-66
2014-05-26 12:00:00,1,2014-06-28 12:00:00,2017-09-09 12:00:00,2017-06-01 12:00:00,2015-09-03 12:00:00,2014-09-05 12:00:00,68.8380329554635,55.518736679264,-40.6982144413735,0.998727146493867,2.49E-61
2014-05-27 12:00:00,2,2014-06-29 12:00:00,2014-06-10 12:00:00,2017-07-01 12:00:00,2017-06-04 12:00:00,2014-06-23 12:00:00,81.3867347106569,72.7212157000949,-36.5434723851347,0.995950011571395,8.81E-50
2014-05-28 12:00:00,2,2017-06-16 12:00:00,2014-06-21 12:00:00,2016-09-10 12:00:00,2017-09-07 12:00:00,2016-06-10 12:00:00,18.7895014156931,18.7125260965247,-1.69903812117673,0.999190002314279,7.64E-66
2014-05-29 12:00:00,2,2017-07-02 12:00:00,2015-06-01 12:00:00,2014-06-07 12:00:00,2017-06-03 12:00:00,2015-05-28 12:00:00,57.6355350986825,49.1139101936143,-30.1608808161343,0.997107151122425,3.88E-53
2014-05-30 12:00:00,2,2017-07-04 12:00:00,2014-06-21 12:00:00,2017-05-23 12:00:00,2014-06-02 12:00:00,2017-06-28 12:00:00,17.9980814823186,17.465453301229,-4.34613368717163,0.99884286044897,2.78E-62
2014-05-31 12:00:00,0,2014-05-01 12:00:00,2016-09-29 12:00:00,2016-09-28 12:00:00,2016-09-27 12:00:00,2016-09-26 12:00:00,67.2481544079394,66.876684212328,-7.05856784614451,0.984497341182844,2.00E-36
2014-06-01 12:00:00,2,2014-05-08 12:00:00,2016-08-11 12:00:00,2016-08-09 12:00:00,2016-08-08 12:00:00,2016-08-07 12:00:00,56.963612939196,52.8953551394007,-21.1408278873655,0.992743069371447,5.70E-44
2014-06-02 12:00:00,2,2014-06-21 12:00:00,2015-06-25 12:00:00,2017-06-28 12:00:00,2014-06-05 12:00:00,2015-07-28 12:00:00,15.1571337898248,14.5171325711417,4.35793146280963,0.999652858134691,2.64E-74
