Date,Cloudy test,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,RMSE,CRMSE,BIAS,Rs,pval
5/1/14 12:00,0,5/14/14 12:00,5/2/14 12:00,5/15/14 12:00,5/16/14 12:00,5/13/14 12:00,5/12/14 12:00,9/26/17 12:00,5/1/17 12:00,5/3/14 12:00,5/20/17 12:00,9/25/17 12:00,9/25/16 12:00,5/2/15 12:00,6/27/17 12:00,9/24/17 12:00,9.346520718,8.25575923,4.3817678,0.999289268,3.78E-67
5/2/14 12:00,0,5/14/14 12:00,5/1/17 12:00,5/12/14 12:00,5/1/14 12:00,9/26/17 12:00,5/20/17 12:00,5/13/14 12:00,5/15/14 12:00,5/16/14 12:00,9/25/17 12:00,5/3/14 12:00,5/2/15 12:00,9/24/17 12:00,5/28/17 12:00,9/25/16 12:00,7.232754522,5.576645649,-4.605839911,0.999526179,3.38E-71
5/3/14 12:00,0,5/20/17 12:00,5/14/14 12:00,9/25/16 12:00,9/25/17 12:00,6/27/17 12:00,5/2/14 12:00,6/2/16 12:00,5/16/14 12:00,5/12/14 12:00,5/1/17 12:00,9/26/17 12:00,5/21/17 12:00,5/1/14 12:00,5/15/14 12:00,6/14/17 12:00,7.990201586,6.358497876,-4.838680207,0.99949655,1.36E-70
5/4/14 12:00,1,5/15/17 12:00,9/22/17 12:00,5/8/16 12:00,7/7/14 12:00,5/21/15 12:00,5/25/17 12:00,9/5/16 12:00,5/1/16 12:00,8/3/16 12:00,9/21/17 12:00,5/21/16 12:00,5/6/17 12:00,9/17/17 12:00,5/9/16 12:00,5/13/17 12:00,131.5422847,104.9294015,-79.32965007,0.995350491,2.09E-48
5/5/14 12:00,1,9/17/16 12:00,7/9/16 12:00,5/16/15 12:00,5/15/16 12:00,5/13/17 12:00,5/1/16 12:00,6/28/14 12:00,5/3/17 12:00,9/28/14 12:00,5/7/14 12:00,5/26/14 12:00,8/7/14 12:00,5/26/16 12:00,5/18/17 12:00,6/18/17 12:00,59.1558886,56.7966116,-16.53977229,0.989427548,3.16E-40
5/6/14 12:00,0,5/22/15 12:00,5/14/17 12:00,5/11/14 12:00,6/18/14 12:00,6/12/17 12:00,6/2/16 12:00,9/23/17 12:00,5/9/14 12:00,5/2/15 12:00,8/17/17 12:00,5/28/17 12:00,5/7/17 12:00,9/24/17 12:00,5/3/14 12:00,9/15/16 12:00,130.2489388,110.8283486,68.42414196,0.978322672,4.17E-33
5/7/14 12:00,1,5/16/15 12:00,5/1/16 12:00,9/28/14 12:00,5/26/16 12:00,5/9/15 12:00,5/9/16 12:00,9/22/17 12:00,5/5/14 12:00,5/15/16 12:00,5/14/15 12:00,5/13/17 12:00,5/8/16 12:00,5/18/17 12:00,6/11/17 12:00,9/14/16 12:00,57.45122222,57.37809029,-2.89787657,0.990642028,1.93E-41
5/8/14 12:00,2,5/20/14 12:00,5/18/15 12:00,6/4/15 12:00,5/12/15 12:00,5/24/14 12:00,5/17/17 12:00,5/13/15 12:00,5/18/14 12:00,5/10/14 12:00,5/8/17 12:00,5/30/17 12:00,6/9/17 12:00,8/20/14 12:00,6/17/14 12:00,6/7/16 12:00,75.77304166,61.63275605,-44.07898847,0.998696844,4.27E-61
5/9/14 12:00,0,5/28/17 12:00,6/12/17 12:00,9/24/17 12:00,9/15/16 12:00,9/23/17 12:00,5/2/15 12:00,5/14/17 12:00,5/20/17 12:00,5/1/17 12:00,8/17/17 12:00,9/6/16 12:00,6/2/16 12:00,5/21/17 12:00,6/18/14 12:00,5/12/14 12:00,11.28962494,9.330074898,-6.35651899,0.999081802,1.37E-64
5/10/14 12:00,2,5/12/15 12:00,6/9/17 12:00,6/15/16 12:00,6/17/14 12:00,5/13/15 12:00,6/15/14 12:00,6/11/16 12:00,5/20/14 12:00,6/6/15 12:00,5/30/17 12:00,6/13/16 12:00,5/19/14 12:00,5/17/17 12:00,6/10/16 12:00,7/17/14 12:00,53.98633262,53.50340027,-7.204878135,0.997245832,1.26E-53
