,n_clouds,LCL_srf,z_cloudbase,dLCL_decoupling,LCL_CB,z_inv_base,z_inv_top,sfc_inversion,top_inversion,qT_BL,qT_jump,qT_3km,thetaL_BL,thetaL_jump,thetaL_3km,wind_now,instant_u,instant_v,wind_mean_16h,wind_mean24h,wind_seabreeze_time,dq_decoupling,dtheta_decoupling,wellmixed_dtv,decoupled_dtv,wellmixed_dLCL,decoupled_dLCL,SST_instant,fog,onecloud,twoplusclouds,cloudnfog,precipitable_water,Tsrf,Tdew,DZ,decoupled_jones,Ocean_lcc,Zone1_lcc,Zone2_lcc,Zone3_lcc
2014-05-01 00:00:00,,4422.33798024162,,,,2380.0,2478.0,0.0,0.0,1.0873584485064598,-0.812358448506465,0.275,304.807088720464,3.71753814520815,311.532089552239,6.68779323401103,-6.58619062739665,-1.16132310769924,8.134671577907639,7.780990204955139,2014-04-30 14:55,1.03655409622534,-2.56349895525221,0.0,0.0,0.0,0.0,290.11,0.0,0.0,0.0,0.0,2.70491326530612,304.95,269.95,5731.0,1.0,,,,
2014-05-01 12:00:00,,3442.15323289041,,,,137.0,198.0,1.0,0.0,,,,,,,3.60111943369825,-3.60111943369825,-2.2050496939129397e-16,5.53029055889374,4.35135264905205,2014-05-01 14:55,,,0.0,0.0,0.0,0.0,290.11,0.0,0.0,0.0,0.0,4.45379081632653,293.95,266.95,5693.0,0.0,0.0,0.6389776357827476,0.0,0.0
2014-05-02 00:00:00,,4069.8103162615503,,,,2193.0,2419.0,0.0,0.0,2.16926556420233,-1.66837050247394,0.500895061728395,305.391926070039,2.7716964987998303,311.885728113248,5.6589019672401,3.6374720689727207,-4.33497040615933,5.53029055889374,4.35135264905205,2014-05-01 14:55,0.7642858507234621,-2.14484731995952,0.0,0.0,0.0,0.0,290.11,0.0,0.0,0.0,0.0,6.32683673469388,304.95,272.95,5729.0,1.0,0.0,0.1597444089456869,0.0,0.0
2014-05-02 12:00:00,,2357.92208851309,,,,137.0,171.0,1.0,0.0,,,,,,,3.60111943369825,-3.60111943369825,-2.2050496939129397e-16,2.86160383570664,2.76514527944687,2014-05-02 17:55,,,0.0,0.0,0.0,0.0,290.65,0.0,0.0,0.0,0.0,6.88429081632653,289.75,271.75,5697.0,0.0,0.0,0.0,0.0,0.7518796992481203
2014-05-03 00:00:00,,3829.9473037272496,,,,444.0,564.0,0.0,0.0,2.63726384364821,-0.995586468705575,1.6416773749426299,303.246905537459,1.66080233597711,311.378577034623,4.115565067083709,3.5641838990222996,-2.05778253354186,2.86160383570664,2.76514527944687,2014-05-02 17:55,,,0.0,0.0,0.0,0.0,290.67,0.0,0.0,0.0,0.0,7.563760204081629,303.95,273.95,5728.0,0.0,0.0,0.0,0.0,0.0
2014-05-03 12:00:00,,2482.6313872965397,,,,137.0,243.0,1.0,0.0,,,,,,,0.0,-0.0,-0.0,2.2635607868960403,2.30382174950882,2014-05-03 15:55,,,0.0,0.0,0.0,0.0,291.99,0.0,0.0,0.0,0.0,9.15647959183673,291.75,272.75,5735.0,0.0,0.0,0.0,0.0,0.0
2014-05-04 00:00:00,,3715.47486915635,,,,565.0,667.0,0.0,0.0,4.1901985981308405,-2.62559118001909,1.56460741811175,304.08084112149504,0.45316126396204504,312.03428409634,3.60111943369825,3.54641033782897,0.625327827222669,2.2635607868960403,2.30382174950882,2014-05-03 15:55,,,0.0,0.0,0.0,0.0,290.71,0.0,0.0,0.0,0.0,8.02210714285714,305.15,276.15,5739.0,0.0,0.0,0.3194888178913738,0.2624671916010499,1.3533834586466165
2014-05-04 12:00:00,1.0,2477.24006276289,179.0,-2298.24006276289,,308.0,546.0,0.0,0.0,10.3166666666667,-9.25025630133107,1.0664103653355999,289.83947368421,9.57034536488209,312.365522601561,0.0,-0.0,-0.0,2.6365338711004997,1.9390643104529,2014-05-04 14:55,,,0.0,1.0,1.0,0.0,292.23,0.0,1.0,0.0,0.0,8.59915306122449,289.35,270.35,5705.0,0.0,0.0,7.507987220447284,18.63517060367455,1.3533834586466165
2014-05-05 00:00:00,,1393.31779565191,,,,400.0,698.0,0.0,0.0,9.35366920152091,-8.48171076631309,0.8719584352078241,296.013688212928,4.414765976331981,311.201397275445,3.0866738003127794,2.67313792426673,-1.5433369001563897,2.6365338711004997,1.9390643104529,2014-05-04 14:55,,,0.0,0.0,0.0,0.0,291.67,0.0,0.0,0.0,0.0,7.29868367346939,296.95,286.95,5704.0,0.0,0.0,0.0,0.0,0.0
2014-05-05 12:00:00,2.0,162.187830717751,394.0,231.812169282249,326.726167033284,394.0,705.0,0.0,0.0,9.5624513618677,-8.81390376618566,0.7485475956820409,288.96221719457003,6.07237121502664,312.290869994034,1.5433369001563897,-1.45026229646356,0.527852307791282,4.0550420513913,3.47765248168574,2014-05-05 14:55,,,0.0,1.0,0.0,1.0,290.99,1.0,0.0,0.0,1.0,8.34459183673469,284.75,284.55,5673.0,0.0,90.0,83.54632587859425,71.5223097112861,31.879699248120303
2014-05-06 00:00:00,,1016.2986636300999,,,,785.0,951.0,0.0,0.0,8.17244598765432,-6.69756038497575,1.4748856026785702,290.640354938272,5.50436491025567,309.658581014373,5.6589019672401,3.6374720689727207,4.33497040615933,4.0550420513913,3.47765248168574,2014-05-05 14:55,1.29785714285714,1.84428571428572,0.0,0.0,0.0,0.0,290.39,0.0,0.0,0.0,0.0,12.378801020408199,292.35,285.35,5635.0,1.0,100.0,21.24600638977636,10.367454068241472,0.0
2014-05-06 12:00:00,,589.252586368166,,,,1622.0,1740.0,0.0,0.0,6.33198653198653,-4.5866809085146505,1.74530562347188,288.487205387205,5.25626813317911,305.601151928352,4.63001070046917,4.3507868893906805,1.58355692337385,5.85181907975965,5.23019727275221,2014-05-06 14:55,1.84789744777011,-1.8338167491817798,0.0,0.0,0.0,0.0,290.21,0.0,0.0,0.0,0.0,14.7108775510204,287.35,283.75,5568.0,1.0,0.0,15.814696485623006,29.396325459317584,30.375939849624057
2014-05-07 00:00:00,2.0,1138.33249361805,1471.0,332.66750638194696,1394.4811920522,1645.0,1752.0,0.0,0.0,6.075275198938989,-5.10649141515521,0.968783783783784,288.70286133529,2.75036391733317,298.63640830527,8.74557576755289,8.61271082044177,-1.51865329468362,5.85181907975965,5.23019727275221,2014-05-06 14:55,2.23810590753596,-0.8024596395061959,1.0,0.0,0.0,1.0,289.85,0.0,0.0,1.0,0.0,12.449030612244899,290.15,282.15,5505.0,1.0,30.0,7.667731629392973,22.440944881889767,39.3984962406015
2014-05-07 12:00:00,2.0,400.830639577518,1386.0,985.169360422482,1344.01606723006,1386.0,1608.0,0.0,0.0,6.91529623698959,-3.34907156738607,3.5662246696035202,288.313943768997,3.3025406221553304,300.444880530825,2.05778253354186,-1.9336830619514098,0.703803077055043,4.115565067083709,3.3541855296732197,2014-05-07 14:33,2.08072299651568,-2.39172473867598,0.0,1.0,0.0,1.0,289.85,0.0,0.0,1.0,0.0,18.2366581632653,285.15,283.05,5494.0,1.0,100.0,31.46964856230032,40.026246719160106,25.26315789473684
2014-05-08 00:00:00,1.0,1015.7880173658801,985.0,-30.7880173658813,968.996555676633,1161.0,1283.0,0.0,0.0,7.4942041015625,-4.63134404325346,2.8628600583090402,289.53671875,2.2416967663095297,300.880043000116,4.63001070046917,3.5467939686758196,2.97611351097768,4.115565067083709,3.3541855296732197,2014-05-07 14:33,1.47423647186147,1.5540854978354999,1.0,0.0,1.0,0.0,289.65,0.0,1.0,0.0,0.0,15.5102806122449,291.75,284.75,5540.0,1.0,10.0,19.648562300319487,22.57217847769029,27.969924812030072
2014-05-08 12:00:00,1.0,738.829654655686,914.0,175.170345344314,898.167763003494,1205.0,1328.0,0.0,0.0,6.780201310861419,-4.39925078082609,2.38095053003534,287.47846441947604,5.91328773592613,303.990467695583,1.5433369001563897,0.771668450078196,1.33656896213336,2.6043810190139105,2.2935701155101897,2014-05-08 14:55,0.742935560859187,-0.701431980906932,0.0,0.0,0.0,1.0,290.05,0.0,1.0,0.0,0.0,14.1792908163265,287.15,282.35,5573.0,1.0,0.0,0.9584664536741214,2.0997375328084,1.2030075187969926
2014-05-09 00:00:00,,1264.2853230911,,,,1441.0,1509.0,0.0,0.0,6.11650306748466,-3.71164083085581,2.40486223662885,292.215529141104,6.99267423449783,304.8186016264,3.60111943369825,3.54641033782897,0.625327827222669,2.6043810190139105,2.2935701155101897,2014-05-08 14:55,2.25739791683137,-3.43697920784251,0.0,0.0,0.0,0.0,288.95,0.0,0.0,0.0,0.0,15.369020408163301,292.35,283.35,5605.0,1.0,0.0,0.1597444089456869,0.0,0.0
2014-05-09 12:00:00,,250.24932025716598,,,,867.0,1251.0,0.0,0.0,7.5972602739726,-3.99343352625224,3.60382674772036,288.50643835616404,5.87240260824473,310.57904770302,2.57222816692732,-2.5331502413064,-0.446662733730478,2.57222816692732,2.39415083229389,2014-05-09 14:19,3.3259719241774,-3.4661352953198703,0.0,0.0,0.0,0.0,289.75,0.0,0.0,0.0,0.0,21.1343775510204,284.95,284.05,5650.0,1.0,100.0,2.2364217252396164,5.380577427821522,0.0
2014-05-10 00:00:00,,1267.11954471017,,,,637.0,800.0,0.0,0.0,8.53379,-4.7674036571952305,3.7663863428047697,293.2138,0.9270584879274109,311.09399769207903,5.14445633385464,5.14445633385464,9.45021297391262e-16,2.57222816692732,2.39415083229389,2014-05-09 14:19,1.00620967741935,2.45000000000005,0.0,0.0,0.0,0.0,290.11,0.0,0.0,0.0,0.0,19.5132653061224,294.95,285.95,5683.0,1.0,40.0,1.437699680511182,0.3937007874015748,0.0
2014-05-10 12:00:00,1.0,452.001794640058,534.0,81.9982053599416,519.079031572239,883.0,1115.0,0.0,0.0,8.85560991957105,-5.08604296625409,3.76956695331695,289.10683646112597,6.053448417624169,314.42107842917596,2.05778253354186,0.35733018698438207,2.0265201930451204,3.82618939830439,3.3653318517299105,2014-05-10 14:55,0.9428388278388291,-0.8195970695970799,1.0,0.0,1.0,0.0,290.65,0.0,1.0,0.0,0.0,21.125862244898,288.75,286.25,5682.0,1.0,10.0,52.71565495207668,90.02624671916011,87.06766917293233
2014-05-11 00:00:00,,1017.3202368355198,,,,817.0,937.0,0.0,0.0,9.11090441176471,-6.375170689704451,2.73573372206025,291.705588235294,3.5112536162034798,310.668387385862,4.115565067083709,4.05304038609025,0.7146603739687641,3.82618939830439,3.3653318517299105,2014-05-10 14:55,1.3897826086956497,2.38695652173914,0.0,0.0,0.0,0.0,290.41,0.0,0.0,0.0,0.0,17.9533979591837,293.55,286.55,5679.0,1.0,0.0,17.412140575079874,13.517060367454068,0.9022556390977444
2014-05-11 12:00:00,,313.069324754131,,,,1959.0,2265.0,1.0,1.0,,,,,,,2.05778253354186,-1.7820919495111498,1.02889126677093,5.208762038027821,4.115565067083709,2014-05-11 16:55,5.30375742564862,-8.81749321490247,0.0,0.0,0.0,0.0,291.05,0.0,0.0,0.0,0.0,10.7323826530612,285.15,283.75,5658.0,1.0,0.0,2.2364217252396164,0.0,0.0
2014-05-12 00:00:00,,2373.29931470269,,,,636.0,700.0,0.0,0.0,4.24065130260521,-1.96931752541924,2.27133377718597,295.98246492986,2.78724897671248,303.286339690288,10.288912667709301,6.6135855799504,-7.88176437483515,5.208762038027821,4.115565067083709,2014-05-11 16:55,3.4554330708661403,0.9590551181102001,0.0,0.0,0.0,0.0,290.71,0.0,0.0,0.0,0.0,8.90244897959183,296.95,278.95,5666.0,1.0,0.0,0.0,0.0,0.0
2014-05-12 12:00:00,,1869.53761759839,,,,137.0,214.0,1.0,0.0,,,,,,,3.0866738003127794,-2.90052459292712,-1.05570461558256,5.14445633385464,4.43709358794962,2014-05-12 14:55,,,0.0,0.0,0.0,0.0,290.49,0.0,0.0,0.0,0.0,6.8543928571428605,287.15,273.15,5663.0,0.0,0.0,0.3194888178913738,0.0,0.6015037593984963
2014-05-13 00:00:00,,3588.7356721878205,,,,2814.0,2882.0,1.0,1.0,,,,,,,6.173347600625569,4.729058624901089,-3.96815134797024,5.14445633385464,4.43709358794962,2014-05-12 14:55,0.8525695389957509,-3.00620596701236,0.0,0.0,0.0,0.0,290.55,0.0,0.0,0.0,0.0,7.26385204081633,302.75,274.75,5706.0,1.0,0.0,0.0,0.0,0.0
2014-05-13 12:00:00,,2601.81870946455,,,,137.0,269.0,1.0,0.0,,,,,,,4.115565067083709,-3.5641838990222996,-2.05778253354186,5.17660918594123,4.43709358794962,2014-05-13 14:55,,,0.0,0.0,0.0,0.0,291.11,0.0,0.0,0.0,0.0,7.6151122448979605,291.35,271.35,5710.0,0.0,0.0,1.1182108626198082,0.0,0.0
2014-05-14 00:00:00,,4548.3392582754495,,,,,,,,,,,,,,6.68779323401103,-6.28446995134209,-2.28736000042889,5.17660918594123,4.43709358794962,2014-05-13 14:55,,,0.0,0.0,0.0,0.0,290.49,0.0,0.0,0.0,0.0,7.56124489795918,307.15,271.15,5723.0,0.0,0.0,0.0,0.0,0.0
2014-05-14 12:00:00,,3200.0404980525,,,,137.0,501.0,1.0,0.0,,,,,,,3.0866738003127794,-3.0866738003127794,-1.89004259478252e-16,4.34063503168985,3.7940365462177996,2014-05-14 14:55,,,0.0,0.0,0.0,0.0,291.45,0.0,0.0,0.0,0.0,6.43160204081633,292.15,267.15,5723.0,0.0,0.0,0.3194888178913738,0.5249343832020997,1.5037593984962403
2014-05-15 00:00:00,,4077.1837204246794,,,,484.0,610.0,0.0,0.0,3.20413544668588,-1.67271640344761,1.53141904323827,305.89798270893397,0.835804102423367,311.777202844079,6.68779323401103,5.791798835911241,-3.34389661700552,4.34063503168985,3.7940365462177996,2014-05-14 14:55,,,0.0,0.0,0.0,0.0,290.81,0.0,0.0,0.0,0.0,6.66020918367347,306.95,274.95,5759.0,0.0,0.0,0.0,0.0,0.0
2014-05-15 12:00:00,,3326.88997800017,,,,137.0,181.0,1.0,0.0,,,,,,,4.115565067083709,-4.05304038609025,-0.7146603739687641,3.3117437649189196,3.3224613822811198,2014-05-15 14:55,,,0.0,0.0,0.0,0.0,292.03,0.0,0.0,0.0,0.0,6.25514795918367,294.95,268.95,5761.0,0.0,0.0,0.0,0.0,0.0
2014-05-16 00:00:00,,4437.5463659137795,,,,,,,,,,,,,,4.63001070046917,3.5467939686758196,-2.97611351097768,3.3117437649189196,3.3224613822811198,2014-05-15 14:55,,,0.0,0.0,0.0,0.0,290.99,0.0,0.0,0.0,0.0,6.80421428571429,308.75,273.75,5783.0,0.0,0.0,0.0,0.0,0.0
2014-05-16 12:00:00,,3088.10250559516,,,,137.0,181.0,1.0,0.0,,,,,,,3.60111943369825,-3.54641033782897,-0.625327827222669,2.70083957527368,2.44361675858095,2014-05-16 15:55,,,0.0,0.0,0.0,0.0,292.89,0.0,0.0,0.0,0.0,6.037015306122449,294.55,270.55,5779.0,0.0,0.0,0.0,0.0,0.0
2014-05-17 00:00:00,,3484.89973176626,,,,,,,,,,,,,,4.63001070046917,4.63001070046917,8.505191676521351e-16,2.70083957527368,2.44361675858095,2014-05-16 15:55,,,0.0,0.0,0.0,0.0,291.87,0.0,0.0,0.0,0.0,6.22487755102041,307.55,280.55,5779.0,0.0,0.0,0.0,0.0,0.0
2014-05-17 12:00:00,1.0,137.0,137.0,0.0,,137.0,347.0,1.0,0.0,,,,,,,0.0,-0.0,-0.0,3.3117437649189196,2.5531746249500804,2014-05-17 14:55,,,1.0,0.0,1.0,0.0,294.09,1.0,1.0,0.0,0.0,11.0834897959184,289.55,289.55,5777.0,0.0,0.0,38.33865814696485,16.797900262467188,0.6015037593984963
2014-05-18 00:00:00,,1269.08305007558,,,,545.0,626.0,0.0,0.0,9.481360294117652,-7.79880715288005,1.6825531412376002,295.86654411764704,6.658616356965919,315.962712439636,3.60111943369825,2.7586175311922996,2.31475495298264,3.3117437649189196,2.5531746249500804,2014-05-17 14:55,1.92855329949239,0.867258883248667,0.0,0.0,0.0,0.0,292.35,0.0,0.0,0.0,0.0,10.184051020408198,296.75,287.75,5769.0,1.0,0.0,1.1182108626198082,1.3123359580052494,1.3533834586466165
2014-05-18 12:00:00,1.0,389.33497249361506,406.0,16.6650275063849,402.613742792739,691.0,764.0,0.0,0.0,9.50893501805054,-8.608159373785758,0.90077564426478,289.732220216607,10.904920433334,317.448898588406,2.57222816692732,-0.44666273373047904,2.5331502413064,3.17745832385139,2.8690237246497,2014-05-18 14:55,1.00926315789474,-0.349473684210523,1.0,0.0,1.0,0.0,292.45,0.0,1.0,0.0,0.0,10.471204081632699,289.35,287.35,5734.0,1.0,0.0,0.0,0.0,0.0
2014-05-19 00:00:00,,1143.57488456308,,,,631.0,917.0,0.0,0.0,9.63465587044534,-8.15409051774825,1.4805653526971,293.872064777328,5.85273041599953,313.072030130052,3.0866738003127794,1.98407567398512,2.36452931245055,3.17745832385139,2.8690237246497,2014-05-18 14:55,1.8251807228915602,2.3180722891565897,0.0,0.0,0.0,0.0,291.79,0.0,0.0,0.0,0.0,11.7325663265306,295.55,287.55,5710.0,1.0,0.0,0.0,0.0,0.0
2014-05-19 12:00:00,1.0,552.555241392889,767.0,214.44475860711103,710.681024989758,876.0,997.0,0.0,0.0,8.936840324763189,-8.14995315408736,0.7868871706758299,289.809269282815,7.95590994736733,311.692721548392,4.115565067083709,-5.04011358608673e-16,4.115565067083709,4.429948509708161,4.1353514375985405,2014-05-19 14:55,,,1.0,0.0,0.0,1.0,292.91,0.0,1.0,0.0,0.0,12.0389540816327,289.35,286.05,5680.0,0.0,90.0,75.23961661341852,84.64566929133859,93.98496240601507
2014-05-20 00:00:00,,892.068504511849,,,,892.0,1060.0,0.0,0.0,8.73878145695364,-7.126976477700531,1.61180497925311,290.622781456954,6.043490360621999,308.708405508122,5.6589019672401,5.31762842036638,1.93545846190137,4.429948509708161,4.1353514375985405,2014-05-19 14:55,1.3602482269503502,2.1147163120567702,0.0,0.0,0.0,0.0,292.55,0.0,0.0,0.0,0.0,14.364193877551001,292.75,286.75,5657.0,1.0,40.0,17.252396166134186,17.979002624671914,3.1578947368421053
2014-05-20 12:00:00,1.0,619.01138247028,1194.0,574.98861752972,1051.92905738541,1194.0,1219.0,0.0,0.0,7.57388177339901,-6.00805828258537,1.56582349081365,289.047740384615,2.1955345218546496,308.36726449911,2.05778253354186,1.02889126677093,1.7820919495111498,4.90236427108501,3.86863116305869,2014-05-20 14:55,1.4172330097087402,-0.903883495145635,0.0,0.0,0.0,1.0,292.39,0.0,1.0,0.0,0.0,14.602112244898,287.95,284.45,5612.0,1.0,10.0,25.878594249201274,23.228346456692915,49.47368421052632
